NTP Timestamp (ms),Arduino Timestamp (ms),Frequency (Hz)
2025-04-27 21:54:02.689,17540,50.0500
2025-04-27 21:54:02.735,17560,50.1500
2025-04-27 21:54:02.783,17580,50.0500
2025-04-27 21:54:02.834,17600,50.0800
2025-04-27 21:54:02.887,17620,50.1700
2025-04-27 21:54:02.930,17640,49.8500
2025-04-27 21:54:02.979,17660,50.3300
2025-04-27 21:54:03.037,17680,49.8400
2025-04-27 21:54:03.087,17700,50.3300
2025-04-27 21:54:03.136,17720,49.8000
2025-04-27 21:54:03.209,17740,50.4100
2025-04-27 21:54:03.260,17760,49.7800
2025-04-27 21:54:03.304,17780,50.3600
2025-04-27 21:54:03.351,17800,49.8200
2025-04-27 21:54:03.402,17820,50.3600
2025-04-27 21:54:03.454,17840,49.8000
2025-04-27 21:54:03.501,17860,50.3800
2025-04-27 21:54:03.553,17880,49.7800
2025-04-27 21:54:03.596,17900,50.4200
2025-04-27 21:54:03.657,17920,49.7700
2025-04-27 21:54:03.699,17940,50.3800
2025-04-27 21:54:03.753,17960,49.8100
2025-04-27 21:54:03.798,17980,50.1000
2025-04-27 21:54:03.850,18000,50.0700
2025-04-27 21:54:03.900,18020,50.0900
2025-04-27 21:54:03.951,18040,50.1100
2025-04-27 21:54:04.001,18060,50.1200
2025-04-27 21:54:04.051,18080,50.0700
2025-04-27 21:54:04.103,18100,50.0800
2025-04-27 21:54:04.148,18120,50.0900
2025-04-27 21:54:04.197,18140,50.0800
2025-04-27 21:54:04.240,18160,50.1400
2025-04-27 21:54:04.283,18180,50.0200
2025-04-27 21:54:04.343,18200,50.1200
2025-04-27 21:54:04.389,18220,50.0400
2025-04-27 21:54:04.440,18240,50.1500
2025-04-27 21:54:04.492,18260,50.0000
2025-04-27 21:54:04.542,18280,50.2300
2025-04-27 21:54:04.588,18300,49.9300
2025-04-27 21:54:04.635,18320,50.2300
2025-04-27 21:54:04.683,18340,50.0800
2025-04-27 21:54:04.733,18360,50.0800
2025-04-27 21:54:04.780,18380,50.0900
2025-04-27 21:54:04.833,18400,50.1200
2025-04-27 21:54:04.881,18420,50.0400
2025-04-27 21:54:04.931,18440,50.1800
2025-04-27 21:54:04.978,18460,50.0900
2025-04-27 21:54:05.026,18480,50.0600
2025-04-27 21:54:05.073,18500,50.2000
2025-04-27 21:54:05.123,18520,50.0100
2025-04-27 21:54:05.178,18540,50.1100
2025-04-27 21:54:05.233,18560,50.1100
2025-04-27 21:54:05.281,18580,50.0400
2025-04-27 21:54:05.322,18600,50.1600
2025-04-27 21:54:05.377,18620,50.1000
2025-04-27 21:54:05.427,18640,50.0300
2025-04-27 21:54:05.472,18660,50.1300
2025-04-27 21:54:05.509,18680,50.0800
2025-04-27 21:54:05.567,18700,50.0800
2025-04-27 21:54:05.613,18720,50.0900
2025-04-27 21:54:05.661,18740,50.1300
2025-04-27 21:54:05.713,18760,50.0700
2025-04-27 21:54:05.759,18780,50.0900
2025-04-27 21:54:05.808,18800,50.1700
2025-04-27 21:54:05.855,18820,50.0400
2025-04-27 21:54:05.905,18840,50.0900
2025-04-27 21:54:05.950,18860,50.1100
2025-04-27 21:54:06.002,18880,50.0800
2025-04-27 21:54:06.051,18900,50.1600
2025-04-27 21:54:06.100,18920,50.0600
2025-04-27 21:54:06.151,18940,50.0600
2025-04-27 21:54:06.196,18960,50.1000
2025-04-27 21:54:06.251,18980,50.1100
2025-04-27 21:54:06.302,19000,50.0500
2025-04-27 21:54:06.348,19020,50.1000
2025-04-27 21:54:06.398,19040,50.0600
2025-04-27 21:54:06.445,19060,50.1600
2025-04-27 21:54:06.497,19080,50.0000
2025-04-27 21:54:06.544,19100,50.2300
2025-04-27 21:54:06.592,19120,49.9300
2025-04-27 21:54:06.645,19140,50.2300
2025-04-27 21:54:06.695,19160,50.0700
2025-04-27 21:54:06.743,19180,50.0900
2025-04-27 21:54:06.808,19200,50.0800
2025-04-27 21:54:06.863,19220,50.1200
2025-04-27 21:54:06.910,19240,50.0400
2025-04-27 21:54:06.957,19260,50.0900
2025-04-27 21:54:07.002,19280,50.1500
2025-04-27 21:54:07.049,19300,50.0200
